BlFract,PitchAxis,StrcTwst,BMassDen,FlpStff,EdgStff
0.0,0.5,12.00002806121996,1944.3015133249012,80576032089.68509,80558598952.91019
0.0344805170116393,0.4992152755398002,11.99964011912278,1059.937333619605,45527469281.17404,28463743019.450336
0.0689673975191762,0.4672485136741974,11.99671430769378,1005.9243470000396,38420822809.64361,24117562145.10113
0.1034469135766283,0.4288897840799227,12.02241256026795,901.8707787587797,29630553927.333344,21404534921.3829
0.1379339990205685,0.3912335423197492,11.56869232147211,802.282459656362,19000279948.51751,20724657373.855526
0.1724181855255898,0.3606002388416181,10.03883227305816,707.0206953752889,10032544170.33644,20553874635.815266
0.2068986193664772,0.3402398741105638,8.076609005387132,626.687983235467,6436526525.876585,19200971738.019978
0.2413775792954272,0.3306748768472906,6.583589890889979,552.9387484391702,5153131922.253751,16016049178.17966
0.2758624208035038,0.3302603283023026,5.661206923495265,502.3200362145126,4303098094.717437,13317473864.803555
0.3103451056153142,0.3361433319484836,5.010257468512085,458.79694320360846,3555980406.7580104,10771831271.934101
0.3448321547903672,0.3459405469678954,4.447057061811484,426.2643318205315,2941210010.8678346,8785789200.73906
0.3793123394443066,0.3588053915031434,3.930526877993271,401.2276693084767,2422672466.8679767,7221144226.77846
0.4137941726258467,0.3742787356321839,3.440409048815762,377.036417028424,1960274306.6048055,5835721318.8716345
0.4482818342296974,0.3920532253662087,2.937699901176175,354.4775515455789,1555087278.7351208,4671366687.793665
0.482764412534646,0.4102244087380393,2.390684243696569,339.07211447296476,1213253941.0006566,3663007332.689804
0.5172465736612203,0.4282815639424382,1.800014974504586,317.11604512783975,916607489.2635056,2892429464.0200944
0.5517259133457584,0.4463827495700969,1.181890536278555,294.43942538517865,646347701.2038,2249653665.2806325
0.5862086652444077,0.4629447909024211,0.550751266734693,272.9361238793819,449709465.26816666,1750612061.1217735
0.6206949652273239,0.4781259370314843,-0.0768871564749251,252.38988295940018,305874039.95062727,1359910512.3105915
0.6551719841142299,0.4919919378338999,-0.6869854123077352,231.5708039089266,209923573.59594536,1047224296.3235971
0.6896582879742414,0.5036629588431591,-1.262800892452079,212.30822017784593,153592279.89342806,804698720.8291783
0.724143682813822,0.513566091954023,-1.792359064289039,191.60003276465832,111754150.69081928,615775571.5956559
0.7586231597836172,0.5217514745916515,-2.262491400035471,170.91730522406652,79835882.17675912,468840079.07386357
0.7931011025897087,0.5253728858004458,-2.647842454204785,150.78517273721616,56352072.98049923,353139008.01809394
0.8275897060231471,0.5264592476489028,-2.942933952928573,130.48497377082433,39166174.85876739,261688478.68950614
0.8620721712768564,0.5227474695488077,-3.129337812859181,109.74621720470246,26799846.14982259,188772250.7200962
0.8965547308306578,0.5138115831586969,-3.135739832811044,87.46315929927825,17400341.197347254,128894437.69134767
0.9310400808627224,0.498389124668435,-2.86332740135285,60.97971442166919,9529903.492781881,75561943.7011049
0.9655187699072448,0.4762865900383142,-2.046041506422669,34.08527863525633,3009247.379789504,29773895.547527656
1.0,0.446,-0.0372422566835034,1.9499255289024628,489.4981562914045,16559.764396773644
